id	name	type	display_id	sightings	submissions	zones	example_zone	example_map_id	example_x	example_y	example_z	example_map_x	example_map_y	lock_id	lock_type	other_names	seen_in	zone_list
68	Stormwind City Guard			32	1	2	Alterac	0	-8394.600	1071.230	31.631	-10.300	530.100				dumps-part1	Alterac | Stormwind
118				1	1	1	Stormwind	0	-8809.738	654.168	98.198	61.500	70.300				dumps-part1	Stormwind
165				2	1	1	Stormwind	0	-8808.260	622.623	94.549	63.300	70.100				dumps-part1	Stormwind
277	Roberto Pupellyverbos			1	1	1	Stormwind	0	-8886.150	679.911	100.080	60.000	76.900				dumps-part1	Stormwind
279	Morgan Pestle			1	1	1	Stormwind	0	-8857.690	625.498	95.990	63.200	74.400				dumps-part1	Stormwind
299				1	1	1	Stormwind	0	-8787.798	610.767	98.081	64.000	68.400				dumps-part1	Stormwind
307	Pinto			1	1	1	Barrens	1	-960.348	-3634.570	17.300	61.800	38.100				dumps-part1	Barrens
340	Kendor Kabonka			1	1	1	Stormwind	0	-8606.150	376.913	110.262	77.500	52.700				dumps-part1	Stormwind
352	Dungar Longdrink			2	1	1	Stormwind	0	-8835.650	489.223	109.615	71.000	72.500				dumps-part1	Stormwind
356	Black Wolf			8	1	1	Durotar	1	165.729	-4782.020	12.009	53.300	46.600				dumps-part1	Durotar
384	Katie Hunter			2	1	1	Stormwind	0	-8741.130	386.674	101.057	76.900	64.300				dumps-part1	Stormwind
466	General Marcus Jonathan			1	1	1	Stormwind	0	-8953.950	521.019	96.357	69.200	82.700				dumps-part1	Stormwind
482	Elling Trias			2	1	1	Stormwind	0	-8854.120	575.652	101.067	66.000	74.100				dumps-part1	Stormwind
483	Elaine Trias			2	1	1	Stormwind	0	-8845.680	566.492	94.688	66.600	73.400				dumps-part1	Stormwind
525				3	1	1	Stormwind	0	-8842.648	492.838	109.609	70.800	73.100				dumps-part1	Stormwind
629	Rikki			1	1	1	Durotar	1	-601.148	-4241.875	38.956	43.100	68.400				dumps-part1	Durotar
656	Wilder Thistlenettle			1	1	1	Stormwind	0	-8469.000	501.280	99.832	70.300	40.800				dumps-part1	Stormwind
729	Sin'Dall			2	1	2	Alterac	0	-6515.218	-1168.959	309.102	69.700	429.400				dumps-part1	Alterac | SearingGorge
918	Osborne the Night Man			1	1	1	Stormwind	0	-8752.300	377.572	101.056	77.400	65.300				dumps-part1	Stormwind
957	Dane Lindgren			1	1	1	Stormwind	0	-8425.000	608.796	95.209	64.100	37.100				dumps-part1	Stormwind
1019				1	1	1	Durotar	1	332.913	-4689.427	16.458	51.600	41.900				dumps-part1	Durotar
1022				2	1	1	Durotar	1	299.265	-4738.429	9.334	52.500	42.800				dumps-part1	Durotar
1023				1	1	1	Stormwind	0	-8838.274	646.554	95.964	61.900	72.700				dumps-part1	Stormwind
1257	Keldric Boucher			1	1	1	Stormwind	0	-8865.020	631.844	96.173	62.800	75.000				dumps-part1	Stormwind
1275	Kyra Boucher			1	1	1	Stormwind	0	-8863.870	626.459	95.990	63.100	74.900				dumps-part1	Stormwind
1285	Thurman Mullby			2	1	1	Stormwind	0	-8831.750	596.355	95.579	64.800	72.200				dumps-part1	Stormwind
1286	Edna Mullby			2	1	1	Stormwind	0	-8821.220	598.249	95.579	64.700	71.300				dumps-part1	Stormwind
1287	Marda Weller			2	1	1	Stormwind	0	-8787.690	609.631	96.775	64.100	68.400				dumps-part1	Stormwind
1289	Gunther Weller			2	1	1	Stormwind	0	-8790.420	607.348	96.773	64.200	68.600				dumps-part1	Stormwind
1291	Carla Granger			2	1	1	Stormwind	0	-8781.100	645.286	97.224	62.000	67.800				dumps-part1	Stormwind
1292	Maris Granger			2	1	1	Stormwind	0	-8716.410	469.414	98.613	72.100	62.200				dumps-part1	Stormwind
1294	Aldric Moore			2	1	1	Stormwind	0	-8774.030	647.306	97.223	61.900	67.200				dumps-part1	Stormwind
1295	Lara Moore			2	1	1	Stormwind	0	-8777.410	646.162	97.224	62.000	67.500				dumps-part1	Stormwind
1297	Lina Stover			1	1	1	Stormwind	0	-8791.820	702.675	102.286	58.700	68.700				dumps-part1	Stormwind
1298	Frederick Stover			1	1	1	Stormwind	0	-8795.480	709.113	102.284	58.300	69.000				dumps-part1	Stormwind
1299	Lisbeth Schneider			1	1	1	Stormwind	0	-8773.680	709.888	99.535	58.300	67.200				dumps-part1	Stormwind
1301	Julia Gallina			1	1	1	Stormwind	0	-8895.820	681.648	100.080	59.900	77.700				dumps-part1	Stormwind
1302	Bernard Gump			2	1	1	Stormwind	0	-8828.049	519.926	98.700	69.200	71.800				dumps-part1	Stormwind
1303	Felicia Gump			2	1	1	Stormwind	0	-8822.070	518.022	98.683	69.300	71.300				dumps-part1	Stormwind
1319	Bryan Cross			2	1	1	Stormwind	0	-8663.520	520.820	101.284	69.200	57.600				dumps-part1	Stormwind
1320	Seoman Griffith			2	1	1	Stormwind	0	-8713.810	474.327	98.613	71.900	62.000				dumps-part1	Stormwind
1321	Alyssa Griffith			2	1	1	Stormwind	0	-8716.363	477.387	98.615	71.700	62.200				dumps-part1	Stormwind
1323	Osric Strang			2	1	1	Stormwind	0	-8702.280	382.052	103.726	77.200	61.000				dumps-part1	Stormwind
1324	Heinrich Stone			1	1	1	Stormwind	0	-8660.310	381.223	104.268	77.200	57.400				dumps-part1	Stormwind
1327	Reese Langston			1	1	1	Stormwind	0	-8606.280	384.286	102.921	77.000	52.700				dumps-part1	Stormwind
1328	Elly Langston			1	1	1	Stormwind	0	-8609.843	389.848	102.925	76.700	53.000				dumps-part1	Stormwind
1333	Gerik Koen			2	1	1	Stormwind	0	-8661.330	454.443	104.248	73.000	57.500				dumps-part1	Stormwind
1339	Mayda Thane			2	1	1	Stormwind	0	-8669.850	477.370	101.202	71.700	58.200				dumps-part1	Stormwind
1341	Wilhelm Strang			2	1	1	Stormwind	0	-8705.860	376.130	103.726	77.500	61.300				dumps-part1	Stormwind
1366	Adam			2	1	1	Stormwind	0	-8747.280	535.483	96.338	68.300	64.900				dumps-part1	Stormwind
1367	Billy			2	1	1	Stormwind	0	-8745.930	534.749	96.338	68.400	64.800				dumps-part1	Stormwind
1368	Justin			1	1	1	Stormwind	0	-8582.030	633.634	96.338	62.700	50.600				dumps-part1	Stormwind
1370	Brandon			1	1	1	Stormwind	0	-8580.508	635.108	96.338	62.600	50.500				dumps-part1	Stormwind
1371	Roman			1	1	1	Stormwind	0	-8583.880	633.127	96.338	62.700	50.800				dumps-part1	Stormwind
1395	Ol' Beasley			2	1	1	Stormwind	0	-8691.900	444.220	99.949	73.600	60.100				dumps-part1	Stormwind
1402	Topper McNabb			2	1	1	Stormwind	0	-8795.220	675.206	101.827	60.300	69.000				dumps-part1	Stormwind
1413	Janey Anship			1	1	1	Stormwind	0	-8845.367	653.774	96.975	61.500	73.300				dumps-part1	Stormwind
1414	Lisan Pierce			1	1	1	Stormwind	0	-8717.368	736.392	97.749	56.800	62.300				dumps-part1	Stormwind
1415	Suzanne			1	1	1	Stormwind	0	-8799.301	595.763	97.448	64.900	69.400				dumps-part1	Stormwind
1416	Grimand Elmore			1	1	1	Stormwind	0	-8386.740	685.212	95.274	59.700	33.700				dumps-part1	Stormwind
1427	Harlan Bagley			2	1	1	Stormwind	0	-8782.900	640.188	97.223	62.300	67.900				dumps-part1	Stormwind
1428	Rema Schneider			1	1	1	Stormwind	0	-8777.600	713.496	99.534	58.100	67.500				dumps-part1	Stormwind
1431	Suzetta Gallina			1	1	1	Stormwind	0	-8884.880	675.547	100.081	60.300	76.800				dumps-part1	Stormwind
1432	Renato Gallina			1	1	1	Stormwind	0	-8848.260	614.981	95.188	63.800	73.600				dumps-part1	Stormwind
1439	Lord Baurles K. Wishock			1	1	1	Stormwind	0	-8562.780	369.692	108.489	77.900	48.900				dumps-part1	Stormwind
1472	Morgg Stormshot			1	1	1	Stormwind	0	-8469.000	582.931	95.917	65.600	40.800				dumps-part1	Stormwind
1477	Christoph Faral			1	1	1	Stormwind	0	-8607.490	387.326	102.926	76.900	52.800				dumps-part1	Stormwind
1478	Aedis Brom			1	1	1	Stormwind	0	-8605.970	388.410	102.925	76.800	52.700				dumps-part1	Stormwind
1513	Mangy Duskbat			1	1	1	Barrens	1	-414.866	-2644.260	96.223	52.000	30.000				dumps-part1	Barrens
1646	Baros Alexston			1	1	1	Stormwind	0	-8550.240	719.661	101.736	57.700	47.900				dumps-part1	Stormwind
1650	Terry Palin			4	1	1	Alterac	0	-8299.680	1119.060	19.052	-12.000	525.000				dumps-part1	Alterac
1721	Nikova Raskol			2	1	1	Stormwind	0	-8670.372	494.801	99.607	70.700	58.200				dumps-part1	Stormwind
1752	Caledra Dawnbreeze			1	1	1	Stormwind	0	-8534.000	367.126	108.489	78.000	46.500				dumps-part1	Stormwind
1756	Stormwind Royal Guard			12	1	1	Stormwind	0	-8541.230	450.202	104.917	73.200	47.100				dumps-part1	Stormwind
1766	Fenrir			1	1	1	Barrens	1	-462.058	-2652.288	95.685	52.100	30.700				dumps-part1	Barrens
1976	Stormwind City Patroller			8	1	1	Stormwind	0	-8964.377	562.943	93.858	66.800	83.600				dumps-part1	Stormwind
2198	Crier Goodman			1	1	1	Stormwind	0	-8845.958	663.158	97.544	61.000	73.400				dumps-part1	Stormwind
2285	Count Remington Ridgewell			1	1	1	Stormwind	0	-8549.900	386.121	108.389	76.900	47.800				dumps-part1	Stormwind
2334				2	1	1	Stormwind	0	-8834.140	552.277	75.167	67.400	72.400				dumps-part1	Stormwind
2439	Major Samuelson			1	1	1	Stormwind	0	-8421.000	404.987	120.886	75.900	36.700				dumps-part1	Stormwind
2455	Olivia Burnside			1	1	1	Stormwind	0	-8931.230	605.801	99.523	64.300	80.800				dumps-part1	Stormwind
2456	Newton Burnside			1	1	1	Stormwind	0	-8935.270	613.135	99.523	63.900	81.100				dumps-part1	Stormwind
2457	John Burnside			1	1	1	Stormwind	0	-8939.280	620.538	99.523	63.400	81.400				dumps-part1	Stormwind
2532	Donna			1	1	1	Stormwind	0	-8824.662	675.414	97.991	60.300	71.600				dumps-part1	Stormwind
2533	William			1	1	1	Stormwind	0	-8842.778	665.175	97.757	60.900	73.100				dumps-part1	Stormwind
2620	Prairie Dog			2	1	1	Barrens	1	-751.846	-3306.606	92.756	58.500	35.000				dumps-part1	Barrens
2795	Lenny "Fingers" McCoy			2	1	1	Stormwind	0	-8678.190	458.158	99.671	72.800	58.900				dumps-part1	Stormwind
2850	tubrat			3	1	2	Alterac	0	-6549.145	-1166.016	309.538	69.600	431.200				dumps-part1	Alterac | SearingGorge
2879	Karrina Mekenda			1	1	1	Stormwind	0	-8422.000	553.205	95.452	67.300	36.800				dumps-part1	Stormwind
2941	Lanie Reed			4	1	2	Alterac	0	-6559.060	-1169.380	309.797	69.700	431.700				dumps-part1	Alterac | SearingGorge
3098	Mottled Boar			21	1	1	Durotar	1	-720.850	-4224.889	39.565	42.800	71.700				dumps-part1	Durotar
3099	Dire Mottled Boar			196	1	1	Durotar	1	-680.667	-4824.068	35.702	54.100	70.600				dumps-part1	Durotar
3100	Elder Mottled Boar			61	1	2	Barrens	1	-696.671	-3253.964	96.872	58.000	34.200				dumps-part1	Barrens | Durotar
3101	Vile Familiar			3	1	1	Durotar	1	-50.736	-4310.875	69.042	44.400	52.700				dumps-part1	Durotar
3102	Felstalker			4	1	1	Durotar	1	-52.791	-4333.159	68.252	44.800	52.800				dumps-part1	Durotar
3103	Makrura Clacker			4	1	1	Durotar	1	152.128	-5281.370	-9.593	62.800	47.000				dumps-part1	Durotar
3104	Makrura Shellhide			4	1	1	Durotar	1	-103.528	-5217.215	-0.102	61.600	54.200				dumps-part1	Durotar
3106	Pygmy Surf Crawler			13	1	1	Durotar	1	-76.196	-5226.186	-6.805	61.700	53.500				dumps-part1	Durotar
3107	Surf Crawler			3	1	1	Durotar	1	569.838	-4821.146	26.488	54.100	35.100				dumps-part1	Durotar
3110				1	1	1	Barrens	1	-1036.694	-3691.517	25.086	62.300	39.200				dumps-part1	Barrens
3111	Razormane Quilboar			22	1	1	Durotar	1	14.050	-4612.417	45.036	50.100	50.900				dumps-part1	Durotar
3112	Razormane Scout			25	1	1	Durotar	1	22.430	-4252.042	71.975	43.300	50.700				dumps-part1	Durotar
3113	Razormane Dustrunner			8	1	1	Durotar	1	380.865	-4283.474	25.983	43.900	40.500				dumps-part1	Durotar
3114	Razormane Battleguard			15	1	1	Durotar	1	346.856	-4282.774	23.565	43.900	41.500				dumps-part1	Durotar
3115	Dustwind Harpy			35	1	1	Durotar	1	576.843	-4434.039	22.585	46.700	34.900				dumps-part1	Durotar
3116	Dustwind Pillager			24	1	1	Durotar	1	692.841	-4518.255	25.866	48.300	31.600				dumps-part1	Durotar
3117	Dustwind Savage			16	1	1	Durotar	1	828.761	-4813.511	11.162	53.900	27.800				dumps-part1	Durotar
3118	Dustwind Storm Witch			20	1	1	Durotar	1	958.297	-4771.592	24.231	53.100	24.100				dumps-part1	Durotar
3121				1	1	1	Barrens	1	-408.914	-2650.573	96.223	52.000	29.900				dumps-part1	Barrens
3122	Bloodtalon Taillasher			23	1	1	Durotar	1	201.848	-4301.396	44.706	44.200	45.600				dumps-part1	Durotar
3123	Bloodtalon Scythemaw			1	1	1	Durotar	1	1054.307	-4191.547	20.541	42.200	21.400				dumps-part1	Durotar
3124	Scorpid Worker			5	1	2	Barrens	1	-410.235	-2606.989	95.738	51.600	29.900				dumps-part1	Barrens | Durotar
3125	Clattering Scorpid			163	1	1	Durotar	1	-674.470	-4664.889	37.386	51.100	70.400				dumps-part1	Durotar
3126	Armored Scorpid			38	1	1	Durotar	1	93.491	-4211.803	56.227	42.500	48.600				dumps-part1	Durotar
3127	Venomtail Scorpid			9	1	1	Durotar	1	1013.248	-4011.146	25.608	38.700	22.600				dumps-part1	Durotar
3128	Kul Tiras Sailor			61	1	1	Durotar	1	-313.884	-5066.733	21.633	58.700	60.200				dumps-part1	Durotar
3129	Kul Tiras Marine			43	1	1	Durotar	1	-311.885	-5145.687	21.436	60.200	60.100				dumps-part1	Durotar
3130	Thunder Lizard			11	1	1	Durotar	1	654.367	-4035.088	1.817	39.200	32.700				dumps-part1	Durotar
3131	Lightning Hide			11	1	1	Durotar	1	923.939	-4037.869	-13.363	39.300	25.100				dumps-part1	Durotar
3139	Gar'Thok			9	1	1	Durotar	1	275.380	-4713.180	17.489	52.000	43.500				dumps-part1	Durotar
3142	Orgnil Soulscar			8	1	1	Durotar	1	288.035	-4720.880	13.389	52.200	43.100				dumps-part1	Durotar
3143	Gornek			1	1	1	Durotar	1	-599.645	-4184.110	41.085	42.000	68.300				dumps-part1	Durotar
3145	Zureetha Fargaze			1	1	1	Durotar	1	-629.052	-4228.060	38.173	42.800	69.100				dumps-part1	Durotar
3153	Frang			1	1	1	Durotar	1	-641.182	-4229.090	38.134	42.900	69.500				dumps-part1	Durotar
3154	Jen'shan			1	1	1	Durotar	1	-635.462	-4227.520	38.311	42.800	69.300				dumps-part1	Durotar
3155	Rwag			1	1	1	Durotar	1	-588.703	-4144.940	41.027	41.300	68.000				dumps-part1	Durotar
3157	Shikrik			1	1	1	Durotar	1	-624.233	-4204.190	38.135	42.400	69.000				dumps-part1	Durotar
3158	Duokna			1	1	1	Durotar	1	-565.428	-4214.200	41.643	42.600	67.300				dumps-part1	Durotar
3159	Kzan Thornslash			1	1	1	Durotar	1	-606.949	-4187.240	41.092	42.100	68.500				dumps-part1	Durotar
3163	Uhgar			7	1	1	Durotar	1	382.093	-4709.950	13.670	52.000	40.500				dumps-part1	Durotar
3164	Jark			2	1	1	Durotar	1	321.548	-4838.400	10.524	54.400	42.200				dumps-part1	Durotar
