id	name	type	display_id	sightings	submissions	zones	example_zone	example_map_id	example_x	example_y	example_z	example_map_x	example_map_y	lock_id	lock_type	other_names	seen_in	zone_list	origin
4	Bonfire Damage	Trap	0	5	3	2											GameObjects-Bronzebeard | dumps_part2 | dumps_part3	BurningSteppes | SearingGorge	stock
31	Old Lion Statue	Questgiver	6	3	3	1	Redridge	0	-9253.080	-3404.900	104.348	84.500	46.800				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Redridge	stock
32	Sunken Chest	Chest	10	3	3	1	Redridge	0	-9366.480	-2472.260	17.027	41.500	54.700				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Redridge	stock
34	Old Jug	Questgiver	7	1	1	1	Westfall	0	-9797.290	1594.660	39.695	40.600	17.000				dumps_part4	Westfall	stock
35	Captain's Footlocker	Questgiver	8	1	1	1	Westfall	0	-10514.200	2109.990	2.688	25.900	47.800				dumps_part4	Westfall	stock
36	Broken Barrel	Questgiver	9	1	1	1	Ogrimmar	1	1848.230	-4368.210	-14.480	49.000	45.500				dumps_part3	Ogrimmar	stock
37	Eliza's Tombstone	Text	19	4	3	1	Duskwood	0	-10266.300	54.115	41.828	28.900	30.500				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Duskwood	stock
41	Ambassador's Locker	Chest	10	4	3	1	Duskwood	0	-10906.900	-921.372	71.017	65.000	66.100				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Duskwood	stock
47	Wanted: Lieutenant Fangore	Questgiver	17	4	3	1	Redridge	0	-9247.360	-2151.600	63.933	26.800	46.400				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Redridge	stock
52	Fall of Gurubashi	Chest	5	4	3	1	Stranglethorn	0	-11680.000	756.469	50.633	22.900	12.000				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Stranglethorn	stock
54	The Emperor's Tomb	Chest	5	4	3	1	Stranglethorn	0	-11548.500	644.689	59.979	24.700	8.900				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Stranglethorn	stock
55	A half-eaten body	Questgiver	14	4	4	1	WesternPlaguelands	0	2946.008	-1376.334	145.566	41.700	14.700				GameObjects-Bronzebeard | dumps_part2 | dumps_part3 | dumps_part4	WesternPlaguelands	stock
57	Moon Over the Vale	Chest	5	1	1	1	Stranglethorn	0	-11983.200	339.585	2.902	29.500	19.100				dumps_part4	Stranglethorn	stock
58	Gri'lek the Wanderer	Chest	5	4	3	1	Stranglethorn	0	-12148.300	636.767	-70.059	24.800	23.000				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Stranglethorn	stock
59	Mound of loose dirt	Questgiver	20	4	3	1	Duskwood	0	-11115.500	-512.672	32.605	49.900	77.700				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Duskwood	stock
60	Wanted: Gath'Ilzogg	Questgiver	2	4	3	1	Redridge	0	-9243.420	-2213.920	67.624	29.600	46.200				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Redridge	stock
61	A Weathered Grave	Questgiver	12	4	3	1	Duskwood	0	-10240.100	354.663	50.386	17.700	29.100				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Duskwood	stock
65	Fresh Fish Rack	Generic	6705	1	1	1	Ashenvale	1	2920.680	-408.066	107.097	36.600	45.600				dumps_part4	Ashenvale	ascension
68	Wanted Poster	Questgiver	17	4	3	1	Elwynn	0	-9668.230	683.391	36.333	24.500	74.700				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Elwynn	stock
76	An Empty Jar	Questgiver	21	3	3	1	Redridge	0	-9296.650	-2943.810	164.840	63.200	49.800				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Redridge	stock
80	Old Coast Road	Generic	22	5	3	1	Westfall	0	-9979.660	1006.510	31.663	57.400	24.800				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Westfall	stock
81	Sentinel Hill	Generic	22	5	3	1	Westfall	0	-9978.540	1006.100	32.416	57.400	24.800				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Westfall	stock
82	Elwynn Forest	Generic	22	5	3	1	Westfall	0	-9978.610	1007.480	32.149	57.400	24.800				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Westfall	stock
83	Jangolode Mine	Generic	22	5	3	1	Westfall	0	-9978.900	1006.320	30.432	57.400	24.800				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Westfall	stock
84	Old Coast Road	Generic	22	4	2	1	Westfall	0	-10912.000	1420.350	42.526	45.600	64.800				GameObjects-Bronzebeard | dumps_part2	Westfall	stock
85	Duskwood	Generic	22	4	2	1	Westfall	0	-10910.900	1420.140	43.482	45.600	64.800				GameObjects-Bronzebeard | dumps_part2	Westfall	stock
86	Elwynn Forest	Generic	22	6	3	1	Westfall	0	-10670.300	1022.060	32.610	57.000	54.400				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Westfall	stock
87	Moonbrook	Generic	22	6	3	1	Westfall	0	-10670.600	1020.860	33.414	57.000	54.500				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Westfall	stock
88	Duskwood	Generic	22	6	3	1	Westfall	0	-10670.600	1020.910	31.583	57.000	54.500				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Westfall	stock
89	Northshire Abbey	Generic	26	4	3	1	Elwynn	0	-9430.910	62.536	56.779	42.400	64.400				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Elwynn	stock
91	Northshire Abbey	Generic	26	4	3	1	Elwynn	0	-9499.410	66.822	56.012	42.300	67.400				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Elwynn	stock
92	Stormwind City	Generic	26	4	3	1	Elwynn	0	-9499.420	66.830	56.568	42.300	67.400				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Elwynn	stock
93	Westbrook Garrison	Generic	26	4	3	1	Elwynn	0	-9500.090	68.004	56.549	42.300	67.400				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Elwynn	stock
94	Westfall	Generic	26	4	3	1	Elwynn	0	-9500.080	67.983	55.993	42.300	67.400				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Elwynn	stock
95	Eastvale Logging Camp	Generic	26	4	3	1	Elwynn	0	-9500.560	66.079	56.563	42.300	67.400				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Elwynn	stock
96	Redridge	Generic	26	4	3	1	Elwynn	0	-9500.540	66.070	56.007	42.300	67.400				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Elwynn	stock
97	Goldshire	Generic	26	1	1	1	Elwynn	0	-9647.840	-1335.740	49.684	82.700	73.800				dumps_part4	Elwynn	stock
98	Stormwind City	Generic	26	1	1	1	Elwynn	0	-9647.840	-1335.760	49.131	82.700	73.800				dumps_part4	Elwynn	stock
99	Redridge	Generic	26	1	1	1	Elwynn	0	-9648.320	-1337.660	49.678	82.800	73.800				dumps_part4	Elwynn	stock
100	Eastvale Logging Camp	Generic	26	1	1	1	Elwynn	0	-9647.180	-1336.910	49.678	82.800	73.800				dumps_part4	Elwynn	stock
101	Stranglethorn	Generic	27	7	3	1	Duskwood	0	-10542.500	-1180.260	27.826	74.600	45.900				GameObjects-Bronzebeard | dumps_part2 | dumps_part4	Duskwood	stock
