type	item	pins	zones	maps	realms	records	first_seen	last_seen
worldforged	100369	1	Ragefire Chasm	389	Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	2	2026-01-16	2026-01-16
worldforged	131059	1	Wailing Caverns	43	Vol'jin - Conquest of Azeroth	1	2026-01-20	2026-01-20
worldforged	132418	1	Razorfen Kraul	47	Vol'jin - Conquest of Azeroth	1	2025-12-08	2025-12-08
worldforged	132426	7	Magisters' Terrace|Maraudon|Razorfen Downs|Shadowfang Keep|Stratholme|The Arcatraz|The Steamvault	33|129|329|349|545|552|585	Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	11	2025-12-14	2026-02-07
worldforged	132599	1	The Deadmines	36	Vol'jin - Conquest of Azeroth	1	2025-12-15	2025-12-15
worldforged	132626	1	Zul'Farrak	209	Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	2	2026-01-13	2026-01-13
worldforged	132636	1	Blackfathom Deeps	48	Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	2	2026-01-06	2026-01-06
worldforged	132637	1	Shadowfang Keep	33	Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	2	2025-12-15	2025-12-15
worldforged	132690	1	Scarlet Monastery	189	Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	2	2026-01-18	2026-01-18
worldforged	132693	1	Molten Core	409	Vol'jin - Conquest of Azeroth	1	2025-12-21	2025-12-21
worldforged	132698	1	Stratholme	329	Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	2	2025-12-29	2025-12-29
worldforged	132704	1	Scarlet Monastery	189	Vol'jin - Conquest of Azeroth	1	2025-12-24	2025-12-24
worldforged	132723	2	Maraudon|The Slave Pens	349|547	Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	4	2025-12-10	2026-01-29
worldforged	134869	1	Dustwallow Marsh	1	Vol'jin - Conquest of Azeroth	1	2026-02-06	2026-02-06
worldforged	201537	1	Arathi Highlands	0	Vol'jin - Conquest of Azeroth	1	2026-01-26	2026-01-26
worldforged	217842	5	Searing Gorge|Stranglethorn Vale|Westfall	0	Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	6	2026-07-25	2026-08-16
worldforged	217843	1	Stranglethorn Vale	0	Vol'jin - Conquest of Azeroth	1	2026-08-15	2026-08-15
worldforged	217844	2	Stranglethorn Vale	0	Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	2	2026-08-05	2026-08-15
worldforged	217851	2	Stranglethorn Vale|Un'Goro Crater	0|1	Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	2	2026-08-13	2026-08-17
worldforged	217860	1	Darkshore	1	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	9	2026-06-03	2026-08-21
worldforged	278843	3	Eastern Plaguelands|Western Plaguelands	0	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	14	2026-04-30	2026-08-28
worldforged	278844	1	Western Plaguelands	0	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	10	2026-04-28	2026-08-28
worldforged	278845	1	Western Plaguelands	0	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	11	2025-10-15	2026-08-28
worldforged	278846	3	Eastern Plaguelands|Western Plaguelands	0	Area 52 - Free-Pick|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	8	2026-07-07	2026-08-21
worldforged	278847	1	Western Plaguelands	0	Area 52 - Free-Pick|Bronzebeard - Warcraft Reborn|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	6	2025-10-15	2026-05-20
worldforged	278848	1	Western Plaguelands	0	Area 52 - Free-Pick|Darkmoon - Season 10 Wildcard|Dawnrise - Season 10 Freepick|Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	9	2025-10-09	2026-08-29
