type	item	lc_zone	wma_id	zone	map	norm_x	norm_y	server_x	server_y	realms	modes	records	files	first_seen	last_seen	status
worldforged	100369	681	680	Ragefire Chasm	389	0.3545	0.8340	-371.2	191.0	Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	conquest-of-azeroth	2	7	2026-01-16	2026-01-16	CONFIRMED
worldforged	131059	750	749	Wailing Caverns	43	0.7101	0.3912	-30.1	-104.4	Vol'jin - Conquest of Azeroth	conquest-of-azeroth	1	1	2026-01-20	2026-01-20	CONFIRMED
worldforged	132418	762	761	Razorfen Kraul	47	0.1273	0.3504	2178.0	1965.2	Vol'jin - Conquest of Azeroth	conquest-of-azeroth	1	4	2025-12-08	2025-12-08	CONFIRMED
worldforged	132426	728	727	The Steamvault	545	0.3574	0.7844	-299.9	-153.4	Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	conquest-of-azeroth	2	10	2026-01-22	2026-01-22	CONFIRMED
worldforged	132426	732	731	The Arcatraz	552	0.5356	0.3122	372.1	-86.8	Vol'jin - Conquest of Azeroth	conquest-of-azeroth	1	1	2026-01-13	2026-01-13	CONFIRMED
worldforged	132426	751	750	Maraudon	349	0.2457	0.1285	1031.3	76.5	Vol'jin - Conquest of Azeroth	conquest-of-azeroth	1	1	2026-01-31	2026-01-31	CONFIRMED
worldforged	132426	761	760	Razorfen Downs	129	0.3868	0.2215	2578.2	1005.8	Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	conquest-of-azeroth	2	8	2025-12-27	2025-12-27	CONFIRMED
worldforged	132426	765	764	Shadowfang Keep	33	0.5729	0.9238	-1452.7	2093.8	Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	conquest-of-azeroth	2	8	2026-01-03	2026-01-03	CONFIRMED
worldforged	132426	766	765	Stratholme	329	0.6477	0.5442	3099.3	-3968.2	Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	conquest-of-azeroth	2	8	2025-12-14	2025-12-14	CONFIRMED
worldforged	132426	799	798	Magisters' Terrace	585	0.4247	0.3276	210.0	0.9	Vol'jin - Conquest of Azeroth	conquest-of-azeroth	1	1	2026-02-07	2026-02-07	CONFIRMED
worldforged	132599	757	756	The Deadmines	36	0.4821	0.6489	-150.6	-758.0	Vol'jin - Conquest of Azeroth	conquest-of-azeroth	1	1	2025-12-15	2025-12-15	CONFIRMED
worldforged	132626	687	686	Zul'Farrak	209	0.3536	0.4602	1627.2	1135.6	Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	conquest-of-azeroth	2	8	2026-01-13	2026-01-13	CONFIRMED
worldforged	132636	689	688	Blackfathom Deeps	48	0.4341	0.7518	-718.8	32.4	Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	conquest-of-azeroth	2	10	2026-01-06	2026-01-06	CONFIRMED
worldforged	132637	765	764	Shadowfang Keep	33	0.4789	0.5123	-300.9	2488.6	Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	conquest-of-azeroth	2	8	2025-12-15	2025-12-15	CONFIRMED
worldforged	132690	763	762	Scarlet Monastery	189	0.2413	0.5253	1013.0	1187.6	Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	conquest-of-azeroth	2	8	2026-01-18	2026-01-18	CONFIRMED
worldforged	132693	697	696	Molten Core	409	0.5652	0.5962	800.4	-846.0	Vol'jin - Conquest of Azeroth	conquest-of-azeroth	1	1	2025-12-21	2025-12-21	CONFIRMED
worldforged	132698	766	765	Stratholme	329	0.8860	0.3536	3531.4	-4778.4	Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	conquest-of-azeroth	2	7	2025-12-29	2025-12-29	CONFIRMED
worldforged	132704	763	762	Scarlet Monastery	189	0.8164	0.2054	1632.3	-138.6	Vol'jin - Conquest of Azeroth	conquest-of-azeroth	1	1	2025-12-24	2025-12-24	CONFIRMED
worldforged	132723	729	728	The Slave Pens	547	0.4259	0.2275	66.9	-325.1	Rexxar - Conquest of Azeroth|Vol'jin - Conquest of Azeroth	conquest-of-azeroth	2	8	2026-01-29	2026-01-29	CONFIRMED
