realm	mode	npc	npc_key	text	n_options	options	n_quests	quests	captured
Darkmoon	Season 10 Wildcard	8	8	Choose a Primary Stat to receive equipment with that stat.	0		0	{"active": {"n": 0}, "avail": {"n": 0}}	2026-09-02 21:42:52
Darkmoon	Season 10 Wildcard	14753	14753	May the blessings of the night be yours, friend!  I am Illiyana Moonblaze, and I am the main supplier for the Silverwing Sentinels here in Ashenvale.  As you improve your standing with the Sentinels, I will make available to you a fine selection of goods that you can use inside Warsong Gulch.  Should you find yourself in need of item repair, I also provide those services.	1	[{"1": "What goods have I earned the right to purchase for use in Warsong Gulch?", "2": "vendor", "n": 2}]	0	{"active": {"n": 0}, "avail": {"n": 0}}	2026-09-01 00:55:58
Darkmoon	Season 10 Wildcard	15127	15127	I am Samuel Hawke, the main supplier for the League of Arathor posted here at Arathi Basin.  As you improve your standing with us, I will make available to you a fine selection of goods that you might find useful.  Should you find yourself in need of item repair, I also provide those services.	1	[{"1": "What goods have I earned the right to purchase from the League of Arathor?", "2": "vendor", "n": 2}]	0	{"active": {"n": 0}, "avail": {"n": 0}}	2026-09-01 00:56:02
Darkmoon	Season 10 Wildcard	402000	402000	As you approach the contract board, you rub your eyes for a moment, staring at the board in awe. Most of the requests on this board require you to perform acts that, even just thinking about could make a hardened criminal's stomach turn. You are, however, able to find a few "normal" requests...	1	[{"1": "Return", "2": "gossip", "n": 2}]	2	{"active": {"n": 0}, "avail": {"1": "Mmmrrglllm Mmgr Mmmurlok", "2": 20, "n": 5}}	2026-09-01 00:52:34
Darkmoon	Season 10 Wildcard	900007	900007	*Tiraxis eyes you up and down before speaking*$B$B Who I am, is unimportant. What matters is if we can bargain...$B$B Please, browse at your leisure... But do not idle, I have extremely limited stock pull new items from the ether multiple times a day. $B $BEthereal Bazaar tokens are obtained via the auctionhouse and Ascension Shop.	1	[{"1": "|TInterface/ICONS/spell_shadow_teleport.jpg:40:40:-22:0|t|rBrowse Bazaar", "10": "invisiblegossipicon", "11": "|TInterface/ICONS/inv_item_stonen:40:40:-22:0|t|rStones of Retreat", "12": "invisiblegossipicon", "13": "|TInterface/ICONS/ui_chat:40:40:-22:0|t|rWho are you, Ethereal?", "14": "invisiblegossipicon", "15": "|TInterface/ICONS/ui_chat:40:40:-22:0|t|rHow do I get Bazaar Tokens?", "16": "invisiblegossipicon", "2": "invisiblegossipicon", "3": "|TInterface/ICONS/ability_mage_netherwindpresence.jpg:40:40:-22:0|t|rMysterious Wares", "4": "invisiblegossipicon", "5": "|TInterface/ICONS/inv_custom_trainerBook:40:40:-22:0|t|rConvenience Items", "6": "invisiblegossipicon", "7": "|TInterface/ICONS/inv_misc_scrollrolled02c.jpg:40:40:-22:0|t|rConsumables", "8": "invisiblegossipicon", "9": "|TInterface/ICONS/inv_axe_09:40:40:-22:0|t|rHeirlooms |cffFF0000(Requires a level 60)|r", "n": 16}]	0	{"active": {"n": 0}, "avail": {"n": 0}}	2026-09-01 00:53:57
Darkmoon	Season 10 Wildcard	9780012	9780012	Greetings, adventurer. I am a Guardian of Time. $B $BFor the present, I find myself here, I offer heirlooms, powerful items that will aid you on your prestige journey, and these may be yours in exchange for Runes of Ascension. $B $BI also possess General Goods and Mystic Scrolls, powerful tools that augment your abilities. Use them wisely, for they hold the key to unlocking the full potential within you and the means to ascend even further.	1	[{"1": "|TInterface/ICONS/Inv_Misc_Coin_02:30:30:-18:0|t|rGeneral Goods", "2": "invisiblegossipicon", "3": "|TInterface/ICONS/inv_axe_09:30:30:-18:0|t|rHeirlooms |cffFF0000(Requires a level 60)|r", "4": "invisiblegossipicon", "5": "|TInterface/ICONS/Mail_GMIcon:30:30:-18:0|t|rUpgrade Worldforged", "6": "invisiblegossipicon", "n": 6}]	0	{"active": {"n": 0}, "avail": {"n": 0}}	2026-09-01 00:57:22
Dawnrise	Season 10 Freepick	4974	4974	Welcome to the Stormwind Guild Registry offices. What can I help you with today?	1	[{"1": "How do I form a guild?", "2": "petition", "3": "I want to create a guild crest.", "4": "tabard", "n": 4}]	0	{"active": {"n": 0}, "avail": {"n": 0}}	2026-09-01 00:39:04
Dawnrise	Season 10 Freepick	5193	5193	Welcome to the Stormwind Guild Registry offices. What can I help you with today?	1	[{"1": "I want to browse your goods.", "2": "vendor", "3": "I want to create a guild crest.", "4": "tabard", "n": 4}]	0	{"active": {"n": 0}, "avail": {"n": 0}}	2026-09-01 00:39:07
Dawnrise	Season 10 Freepick	6740	6740	Welcome to my Inn, weary traveler. What can I do for you?	1	[{"1": "|TInterface/ICONS/inv_misc_rune_01:40:40:-22:0|t|rMake this inn your home.", "2": "invisiblegossipicon", "3": "|TInterface/ICONS/inv_misc_bag_10:40:40:-22:0|t|rI want to browse your goods.", "4": "invisiblegossipicon", "n": 4}]	3	{"active": {"n": 0}, "avail": {"1": "Assisting Arch Druid Staghelm", "2": 50, "3": 1, "n": 5}}	2026-09-01 01:05:18
Dawnrise	Season 10 Freepick	14753	14753	May the blessings of the night be yours, friend!  I am Illiyana Moonblaze, and I am the main supplier for the Silverwing Sentinels here in Ashenvale.  As you improve your standing with the Sentinels, I will make available to you a fine selection of goods that you can use inside Warsong Gulch.  Should you find yourself in need of item repair, I also provide those services.	1	[{"1": "What goods have I earned the right to purchase for use in Warsong Gulch?", "2": "vendor", "n": 2}]	8	{"active": {"n": 0}, "avail": {"1": "Sentinel Advanced Care Package", "11": "Sentinel Standard Care Package", "12": 44, "13": 1, "2": 70, "6": "Sentinel Basic Care Package", "7": 34, "8": 1, "n": 15}}	2026-09-01 01:04:26
Dawnrise	Season 10 Freepick	15127	15127	I am Samuel Hawke, the main supplier for the League of Arathor posted here at Arathi Basin.  As you improve your standing with us, I will make available to you a fine selection of goods that you might find useful.  Should you find yourself in need of item repair, I also provide those services.	1	[{"1": "What goods have I earned the right to purchase from the League of Arathor?", "2": "vendor", "n": 2}]	2	{"active": {"n": 0}, "avail": {"1": "Arathor Advanced Care Package", "2": 70, "n": 5}}	2026-09-01 01:04:31
Dawnrise	Season 10 Freepick	80061	80061	Oh dear. I know that look—you’ve lost something, haven’t you? Something important? That’s a tale as old as time: a Night Elf is doing something or another, not paying attention, and poof—they disenchant the wrong item, or recycle the wrong Skill Card, or erase the wrong incarnation out of existence. That last one is surprisingly common... $B $BWell, you’re in—pun absolutely intended—great luck. I can restore all sorts of things you’ve destroyed due to negligence. For a price, anyway.	0		0	{"active": {"n": 0}, "avail": {"n": 0}}	2026-09-01 00:39:56
Dawnrise	Season 10 Freepick	402000	402000	As you approach the contract board, you rub your eyes for a moment, staring at the board in awe. Most of the requests on this board require you to perform acts that, even just thinking about could make a hardened criminal's stomach turn. You are, however, able to find a few "normal" requests...	1	[{"1": "Return", "2": "gossip", "n": 2}]	35	{"active": {"n": 0}, "avail": {"1": "A Link to the Past", "11": "Clambake Calamity", "12": 60, "14": 1, "16": "Reclaimers of Eldarath", "17": 60, "19": 1, "2": 60, "21": "Brawl for Glory", "22": 60, "24": 1, "26": "Dungeon Diving", "27": 60, "29": 1, "31": "Lead a Dungeon!", "32": 60, "36": "Heroic Dungeon Diving", "37": 60, "39": 1, "4": 1, "41": "Mythic Dungeon Diving", "42": 60, "44": 1, "46": "Lead a Mythic+", "47": 60, "51": "Mythic+ Dungeon Diving", "52": 60, "54": 1, "56": "A Threat to Azeroth: Lethon", "57": 60, "6": "Breaking Through", "61": "Hero's Call: Zul'Gurub", "62": 60, "7": 60, "9": 1, "n": 65}}	2026-09-01 01:01:32
Dawnrise	Season 10 Freepick	900007	900007	*Tiraxis eyes you up and down before speaking*$B$B Who I am, is unimportant. What matters is if we can bargain...$B$B Please, browse at your leisure... But do not idle, I have extremely limited stock pull new items from the ether multiple times a day. $B $BEthereal Bazaar tokens are obtained via the auctionhouse and Ascension Shop.	1	[{"1": "|TInterface/ICONS/spell_shadow_teleport.jpg:40:40:-22:0|t|rBrowse Bazaar", "10": "invisiblegossipicon", "11": "|TInterface/ICONS/inv_item_stonen:40:40:-22:0|t|rStones of Retreat", "12": "invisiblegossipicon", "13": "|TInterface/ICONS/ui_chat:40:40:-22:0|t|rWho are you, Ethereal?", "14": "invisiblegossipicon", "15": "|TInterface/ICONS/ui_chat:40:40:-22:0|t|rHow do I get Bazaar Tokens?", "16": "invisiblegossipicon", "2": "invisiblegossipicon", "3": "|TInterface/ICONS/ability_mage_netherwindpresence.jpg:40:40:-22:0|t|rMysterious Wares", "4": "invisiblegossipicon", "5": "|TInterface/ICONS/inv_custom_trainerBook:40:40:-22:0|t|rConvenience Items", "6": "invisiblegossipicon", "7": "|TInterface/ICONS/inv_misc_scrollrolled02c.jpg:40:40:-22:0|t|rConsumables", "8": "invisiblegossipicon", "9": "|TInterface/ICONS/inv_axe_09:40:40:-22:0|t|rHeirlooms", "n": 16}]	0	{"active": {"n": 0}, "avail": {"n": 0}}	2026-09-01 01:02:23
Dawnrise	Season 10 Freepick	9780012	9780012	Greetings, adventurer. I am a Guardian of Time. $B $BFor the present, I find myself here, I offer heirlooms, powerful items that will aid you on your prestige journey, and these may be yours in exchange for Runes of Ascension. $B $BI also possess General Goods and Mystic Scrolls, powerful tools that augment your abilities. Use them wisely, for they hold the key to unlocking the full potential within you and the means to ascend even further.	1	[{"1": "|TInterface/ICONS/Inv_Misc_Coin_02:30:30:-18:0|t|rGeneral Goods", "2": "invisiblegossipicon", "3": "|TInterface/ICONS/inv_axe_09:30:30:-18:0|t|rHeirlooms |cffFF0000(Requires a level 60)|r", "4": "invisiblegossipicon", "5": "|TInterface/ICONS/inv_misc_scrollunrolled01c:30:30:-18:0|t|rMystic Scrolls", "6": "invisiblegossipicon", "7": "|TInterface/ICONS/Mail_GMIcon:30:30:-18:0|t|rUpgrade Worldforged", "8": "invisiblegossipicon", "n": 8}]	0	{"active": {"n": 0}, "avail": {"n": 0}}	2026-09-01 01:01:53
