realm	mode	npc	npc_key	npc_name	slot	item	item_name	money_cost	quantity	available	usable	extended_cost	honor_cost	arena_cost	cost_item_1	cost_count_1	cost_item_2	cost_count_2	cost_item_3	cost_count_3	captured
Darkmoon	Season 10 Wildcard	12781	12781:18448:31	Master Sergeant Biggins	1	18448	Sergeant Major's Chain Armguards	0	1	-1		1	3000	0							2026-09-01 00:54:49
Darkmoon	Season 10 Wildcard	12781	12781:18448:31	Master Sergeant Biggins	2	18449	Sergeant Major's Chain Armguards	0	1	-1		1	1000	0							2026-09-01 00:54:49
Darkmoon	Season 10 Wildcard	12781	12781:18448:31	Master Sergeant Biggins	3	18454	Sergeant Major's Dragonhide Armsplints	0	1	-1		1	3000	0							2026-09-01 00:54:49
Darkmoon	Season 10 Wildcard	12781	12781:18448:31	Master Sergeant Biggins	4	18455	Sergeant Major's Dragonhide Armsplints	0	1	-1		1	1000	0							2026-09-01 00:54:49
Darkmoon	Season 10 Wildcard	12781	12781:18448:31	Master Sergeant Biggins	5	18452	Sergeant Major's Leather Armsplints	0	1	-1		1	3000	0							2026-09-01 00:54:49
Darkmoon	Season 10 Wildcard	12781	12781:18448:31	Master Sergeant Biggins	6	18453	Sergeant Major's Leather Armsplints	0	1	-1		1	1000	0							2026-09-01 00:54:49
Darkmoon	Season 10 Wildcard	12781	12781:18448:31	Master Sergeant Biggins	7	18445	Sergeant Major's Plate Wristguards	0	1	-1		1	3000	0							2026-09-01 00:54:49
Darkmoon	Season 10 Wildcard	12781	12781:18448:31	Master Sergeant Biggins	8	18447	Sergeant Major's Plate Wristguards	0	1	-1		1	1000	0							2026-09-01 00:54:49
Darkmoon	Season 10 Wildcard	12781	12781:18448:31	Master Sergeant Biggins	9	18456	Sergeant Major's Silk Cuffs	0	1	-1		1	3000	0							2026-09-01 00:54:49
Darkmoon	Season 10 Wildcard	12781	12781:18448:31	Master Sergeant Biggins	10	18457	Sergeant Major's Silk Cuffs	0	1	-1		1	1000	0							2026-09-01 00:54:49
Darkmoon	Season 10 Wildcard	12781	12781:18448:31	Master Sergeant Biggins	11	16342	Sergeant's Cape	0	1	-1		1	3000	0							2026-09-01 00:54:49
Darkmoon	Season 10 Wildcard	12781	12781:18448:31	Master Sergeant Biggins	12	18440	Sergeant's Cape	0	1	-1		1	500	0							2026-09-01 00:54:49
Darkmoon	Season 10 Wildcard	12781	12781:18448:31	Master Sergeant Biggins	13	18441	Sergeant's Cape	0	1	-1		1	1000	0							2026-09-01 00:54:49
Darkmoon	Season 10 Wildcard	12781	12781:18448:31	Master Sergeant Biggins	14	18442	Master Sergeant's Insignia	0	1	-1		1	500	0							2026-09-01 00:54:49
Darkmoon	Season 10 Wildcard	12781	12781:18448:31	Master Sergeant Biggins	15	18443	Master Sergeant's Insignia	0	1	-1		1	3000	0							2026-09-01 00:54:49
Darkmoon	Season 10 Wildcard	12781	12781:18448:31	Master Sergeant Biggins	16	18444	Master Sergeant's Insignia	0	1	-1		1	1000	0							2026-09-01 00:54:49
