file	bytes	records	fields	record_size	submission
Achievement.dbc	579340	1817	62	248	Asc_data_maps__bea8d07f.zip
Achievement_Category.dbc	7956	86	20	80	Asc_data_maps__bea8d07f.zip
Achievement_Criteria.dbc	1045678	7655	31	124	Asc_data_maps__bea8d07f.zip
AnimationData.dbc	22578	506	8	32	Asc_data_maps__bea8d07f.zip
AreaGroup.dbc	9333	291	8	32	Asc_data_maps__bea8d07f.zip
AreaPOI.dbc	167242	738	54	216	Asc_data_maps__bea8d07f.zip
AreaTable.dbc	366962	2307	36	144	Asc_data_maps__bea8d07f.zip
AreaTrigger.dbc	48821	1220	10	40	Asc_data_maps__bea8d07f.zip
AttackAnimKits.dbc	541	26	5	20	Asc_data_maps__bea8d07f.zip
AttackAnimTypes.dbc	160	7	2	8	Asc_data_maps__bea8d07f.zip
AuctionHouse.dbc	778	7	21	84	Asc_data_maps__bea8d07f.zip
BankBagSlotPrices.dbc	117	12	2	8	Asc_data_maps__bea8d07f.zip
BannedAddOns.dbc	4509	102	11	44	Asc_data_maps__bea8d07f.zip
BarberShopStyle.dbc	80954	491	40	160	Asc_data_maps__bea8d07f.zip
BattlemasterList.dbc	1900	13	32	128	Asc_data_maps__bea8d07f.zip
CameraShakes.dbc	2517	78	8	32	Asc_data_maps__bea8d07f.zip
Cfg_Categories.dbc	3356	37	21	84	Asc_data_maps__bea8d07f.zip
Cfg_Configs.dbc	229	13	4	16	Asc_data_maps__bea8d07f.zip
CharBaseInfo.dbc	145	62	2	2	Asc_data_maps__bea8d07f.zip
CharHairGeosets.dbc	8157	339	6	24	Asc_data_maps__bea8d07f.zip
CharHairTextures.dbc	2869	89	8	32	Asc_data_maps__bea8d07f.zip
CharSections.dbc	845271	8958	10	40	Asc_data_maps__bea8d07f.zip
CharStartOutfit.dbc	37317	126	77	296	Asc_data_maps__bea8d07f.zip
CharTitles.dbc	23527	142	37	148	Asc_data_maps__bea8d07f.zip
CharacterFacialHairStyles.dbc	7125	222	8	32	Asc_data_maps__bea8d07f.zip
ChatChannels.dbc	1046	6	37	148	Asc_data_maps__bea8d07f.zip
ChatProfanity.dbc	101815	5222	3	12	Asc_data_maps__bea8d07f.zip
ChrClasses.dbc	2580	10	60	240	Asc_data_maps__bea8d07f.zip
ChrRaces.dbc	6201	21	69	276	Asc_data_maps__bea8d07f.zip
CinematicCamera.dbc	758	14	7	28	Asc_data_maps__bea8d07f.zip
CinematicSequences.dbc	581	14	10	40	Asc_data_maps__bea8d07f.zip
CreatureDisplayInfo.dbc	1610064	24262	16	64	Asc_data_maps__bea8d07f.zip
CreatureDisplayInfoExtra.dbc	1825335	15475	21	84	Asc_data_maps__bea8d07f.zip
CreatureFamily.dbc	6246	40	28	112	Asc_data_maps__bea8d07f.zip
CreatureModelData.dbc	197135	1331	28	112	Asc_data_maps__bea8d07f.zip
CreatureMovementInfo.dbc	2053	254	2	8	Asc_data_maps__bea8d07f.zip
CreatureSoundData.dbc	198533	1306	38	152	Asc_data_maps__bea8d07f.zip
CreatureSpellData.dbc	28893	802	9	36	Asc_data_maps__bea8d07f.zip
CreatureType.dbc	1127	13	19	76	Asc_data_maps__bea8d07f.zip
CurrencyCategory.dbc	737	8	19	76	Asc_data_maps__bea8d07f.zip
CurrencyTypes.dbc	437	26	4	16	Asc_data_maps__bea8d07f.zip
DanceMoves.dbc	3018	24	24	96	Asc_data_maps__bea8d07f.zip
DeathThudLookups.dbc	921	45	5	20	Asc_data_maps__bea8d07f.zip
DeclinedWord.dbc	1313560	29426	2	8	Asc_data_maps__bea8d07f.zip
DeclinedWordCases.dbc	6734878	141956	4	16	Asc_data_maps__bea8d07f.zip
DestructibleModelData.dbc	3137	41	19	76	Asc_data_maps__bea8d07f.zip
DungeonEncounter.dbc	63033	612	23	92	Asc_data_maps__bea8d07f.zip
DungeonMap.dbc	1781	55	8	32	Asc_data_maps__bea8d07f.zip
DungeonMapChunk.dbc	12461	622	5	20	Asc_data_maps__bea8d07f.zip
DurabilityCosts.dbc	36021	300	30	120	Asc_data_maps__bea8d07f.zip
DurabilityQuality.dbc	149	16	2	8	Asc_data_maps__bea8d07f.zip
Emotes.dbc	8117	175	7	28	Asc_data_maps__bea8d07f.zip
EmotesText.dbc	20791	252	19	76	Asc_data_maps__bea8d07f.zip
EmotesTextData.dbc	133239	1327	18	72	Asc_data_maps__bea8d07f.zip
EmotesTextSound.dbc	10861	542	5	20	Asc_data_maps__bea8d07f.zip
EnvironmentalDamage.dbc	93	6	3	12	Asc_data_maps__bea8d07f.zip
Exhaustion.dbc	624	6	23	92	Asc_data_maps__bea8d07f.zip
Faction.dbc	108787	401	57	228	Asc_data_maps__bea8d07f.zip
FactionGroup.dbc	371	4	20	80	Asc_data_maps__bea8d07f.zip
FactionTemplate.dbc	47117	841	14	56	Asc_data_maps__bea8d07f.zip
FileData.dbc	352	10	3	12	Asc_data_maps__bea8d07f.zip
FootprintTextures.dbc	268	6	2	8	Asc_data_maps__bea8d07f.zip
FootstepTerrainLookup.dbc	4361	217	5	20	Asc_data_maps__bea8d07f.zip
GMSurveyAnswers.dbc	3715	45	20	80	Asc_data_maps__bea8d07f.zip
GMSurveyCurrentSurvey.dbc	93	9	2	8	Asc_data_maps__bea8d07f.zip
GMSurveyQuestions.dbc	1849	13	18	72	Asc_data_maps__bea8d07f.zip
GMSurveySurveys.dbc	109	2	11	44	Asc_data_maps__bea8d07f.zip
GMTicketCategory.dbc	3396	38	18	72	Asc_data_maps__bea8d07f.zip
GameObjectArtKit.dbc	2011	17	8	32	Asc_data_maps__bea8d07f.zip
GameObjectDisplayInfo.dbc	534007	3790	19	76	Asc_data_maps__bea8d07f.zip
GameTables.dbc	2665	87	3	12	Asc_data_maps__bea8d07f.zip
GameTips.dbc	26915	142	18	72	Asc_data_maps__bea8d07f.zip
GemProperties.dbc	12541	626	5	20	Asc_data_maps__bea8d07f.zip
GlyphProperties.dbc	5813	362	4	16	Asc_data_maps__bea8d07f.zip
GlyphSlot.dbc	141	10	3	12	Asc_data_maps__bea8d07f.zip
GroundEffectDoodad.dbc	14558	580	3	12	Asc_data_maps__bea8d07f.zip
GroundEffectTexture.dbc	1099185	24981	11	44	Asc_data_maps__bea8d07f.zip
HelmetGeosetVisData.dbc	693	21	8	32	Asc_data_maps__bea8d07f.zip
HolidayDescriptions.dbc	6617	28	18	72	Asc_data_maps__bea8d07f.zip
HolidayNames.dbc	2431	26	18	72	Asc_data_maps__bea8d07f.zip
Holidays.dbc	6114	26	55	220	Asc_data_maps__bea8d07f.zip
Item.dbc	1475093	46096	8	32	Asc_data_maps__bea8d07f.zip
ItemBagFamily.dbc	1383	16	18	72	Asc_data_maps__bea8d07f.zip
ItemClass.dbc	1538	17	20	80	Asc_data_maps__bea8d07f.zip
ItemCondExtCosts.dbc	18629	1163	4	16	Asc_data_maps__bea8d07f.zip
ItemDisplayInfo.dbc	6732827	57986	25	100	Asc_data_maps__bea8d07f.zip
ItemExtendedCost.dbc	62229	972	16	64	Asc_data_maps__bea8d07f.zip
ItemGroupSounds.dbc	501	24	5	20	Asc_data_maps__bea8d07f.zip
ItemLimitCategory.dbc	8442	83	20	80	Asc_data_maps__bea8d07f.zip
ItemPetFood.dbc	651	8	18	72	Asc_data_maps__bea8d07f.zip
ItemPurchaseGroup.dbc	158	1	26	104	Asc_data_maps__bea8d07f.zip
ItemRandomProperties.dbc	193808	2012	24	96	Asc_data_maps__bea8d07f.zip
ItemRandomSuffix.dbc	13084	95	29	116	Asc_data_maps__bea8d07f.zip
ItemSet.dbc	118552	509	53	212	Asc_data_maps__bea8d07f.zip
ItemSubClass.dbc	22190	119	44	176	Asc_data_maps__bea8d07f.zip
ItemSubClassMask.dbc	383	4	19	76	Asc_data_maps__bea8d07f.zip
ItemVisualEffects.dbc	4008	93	2	8	Asc_data_maps__bea8d07f.zip
ItemVisuals.dbc	1941	80	6	24	Asc_data_maps__bea8d07f.zip
LFGDungeonExpansion.dbc	949	29	8	32	Asc_data_maps__bea8d07f.zip
LFGDungeonGroup.dbc	1097	10	21	84	Asc_data_maps__bea8d07f.zip
LFGDungeons.dbc	41932	195	49	196	Asc_data_maps__bea8d07f.zip
LanguageWords.dbc	26903	1663	3	12	Asc_data_maps__bea8d07f.zip
Languages.dbc	1399	17	18	72	Asc_data_maps__bea8d07f.zip
Light.dbc	42921	715	15	60	Asc_data_maps__bea8d07f.zip
LightFloatBand.dbc	693621	5100	34	136	Asc_data_maps__bea8d07f.zip
LightIntBand.dbc	2080821	15300	34	136	Asc_data_maps__bea8d07f.zip
LightParams.dbc	30621	850	9	36	Asc_data_maps__bea8d07f.zip
LightSkybox.dbc	3663	124	3	12	Asc_data_maps__bea8d07f.zip
LiquidMaterial.dbc	57	3	3	12	Asc_data_maps__bea8d07f.zip
LiquidType.dbc	5420	26	45	180	Asc_data_maps__bea8d07f.zip
LoadingScreenTaxiSplines.dbc	2073	27	19	76	Asc_data_maps__bea8d07f.zip
LoadingScreens.dbc	8054	91	4	16	Asc_data_maps__bea8d07f.zip
