map_id	name	directory	instance_type	terrain_tiles	vmap_tiles	vmap_tree	mmap_tiles	mmap_index	above_stock_range	submission
0	Eastern Kingdoms	Azeroth	0	721	391	1	529	1	0	Asc_data_maps__bea8d07f.zip
1	Kalimdor	Kalimdor	0	988	574	1	778	1	0	Asc_data_maps__bea8d07f.zip
13	Testing	test	0	0	0	1	36	1	0	Asc_data_maps__bea8d07f.zip
25	Scott Test	ScottTest	0	0	0	1	36	1	0	Asc_data_maps__bea8d07f.zip
30	Alterac Valley	PVPZone01	3	35	17	1	27	1	0	Asc_data_maps__bea8d07f.zip
33	Shadowfang Keep	Shadowfang	1	25	12	1	25	1	0	Asc_data_maps__bea8d07f.zip
34	Stormwind Stockade	StormwindJail	1	0	0	1	4	1	0	Asc_data_maps__bea8d07f.zip
35	<unused>StormwindPrison	StormwindPrison	0	0	0	1	4	1	0	Asc_data_maps__bea8d07f.zip
36	Deadmines	DeadminesInstance	1	36	12	1	29	1	0	Asc_data_maps__bea8d07f.zip
37	Azshara Crater	PVPZone02	0	30	18	1	21	1	0	Asc_data_maps__bea8d07f.zip
42	Collin's Test	Collin	0	0	0	1	4	1	0	Asc_data_maps__bea8d07f.zip
43	Wailing Caverns	WailingCaverns	1	0	0	1	5	1	0	Asc_data_maps__bea8d07f.zip
44	<unused> Monastery	Monastery	1	0	0	1	4	1	0	Asc_data_maps__bea8d07f.zip
47	Razorfen Kraul	RazorfenKraulInstance	1	6	6	1	6	1	0	Asc_data_maps__bea8d07f.zip
48	Blackfathom Deeps	Blackfathom	1	0	0	1	4	1	0	Asc_data_maps__bea8d07f.zip
70	Uldaman	Uldaman	1	0	0	1	3	1	0	Asc_data_maps__bea8d07f.zip
90	Gnomeregan	GnomeragonInstance	1	0	0	1	6	1	0	Asc_data_maps__bea8d07f.zip
109	Sunken Temple	SunkenTemple	1	0	0	1	4	1	0	Asc_data_maps__bea8d07f.zip
129	Razorfen Downs	RazorfenDowns	1	24	4	1	3	1	0	Asc_data_maps__bea8d07f.zip
169	Emerald Dream	EmeraldDream	2	256	36	1	163	1	0	Asc_data_maps__bea8d07f.zip
178	Ghostlands	Ghostlands	1	48	0	0	47	1	0	Asc_data_maps__bea8d07f.zip
189	Scarlet Monastery	MonasteryInstances	1	36	7	1	8	1	0	Asc_data_maps__bea8d07f.zip
209	Zul'Farrak	TanarisInstance	1	21	20	1	21	1	0	Asc_data_maps__bea8d07f.zip
229	Blackrock Spire	BlackRockSpire	1	0	0	1	6	1	0	Asc_data_maps__bea8d07f.zip
230	Blackrock Depths	BlackrockDepths	1	0	0	1	6	1	0	Asc_data_maps__bea8d07f.zip
249	Onyxia's Lair	OnyxiaLairInstance	2	4	4	1	4	1	0	Asc_data_maps__bea8d07f.zip
269	Opening of the Dark Portal	CavernsOfTime	1	39	7	1	20	1	0	Asc_data_maps__bea8d07f.zip
289	Scholomance	SchoolofNecromancy	1	16	11	1	16	1	0	Asc_data_maps__bea8d07f.zip
309	Zul'Gurub	Zul'gurub	2	25	22	1	25	1	0	Asc_data_maps__bea8d07f.zip
329	Stratholme	Stratholme	1	20	17	1	20	1	0	Asc_data_maps__bea8d07f.zip
349	Maraudon	Mauradon	1	0	0	1	8	1	0	Asc_data_maps__bea8d07f.zip
369	Deeprun Tram	DeeprunTram	0	12	12	1	12	1	0	Asc_data_maps__bea8d07f.zip
389	Ragefire Chasm	OrgrimmarInstance	1	0	0	1	4	1	0	Asc_data_maps__bea8d07f.zip
409	Molten Core	MoltenCore	2	0	0	1	6	1	0	Asc_data_maps__bea8d07f.zip
429	Dire Maul	DireMaul	1	0	0	1	10	1	0	Asc_data_maps__bea8d07f.zip
449	Alliance PVP Barracks	AlliancePVPBarracks	0	0	0	1	4	1	0	Asc_data_maps__bea8d07f.zip
450	Horde PVP Barracks	HordePVPBarracks	0	0	0	1	4	1	0	Asc_data_maps__bea8d07f.zip
469	Blackwing Lair	BlackwingLair	2	16	15	1	11	1	0	Asc_data_maps__bea8d07f.zip
489	Warsong Gulch	PVPZone03	3	16	8	1	12	1	0	Asc_data_maps__bea8d07f.zip
509	Ruins of Ahn'Qiraj	AhnQiraj	2	40	22	1	29	1	0	Asc_data_maps__bea8d07f.zip
529	Arathi Basin	PVPZone04	3	16	7	1	16	1	0	Asc_data_maps__bea8d07f.zip
530	Outland	Expansion01	0	800	407	1	498	1	0	Asc_data_maps__bea8d07f.zip
531	Ahn'Qiraj Temple	AhnQirajTemple	2	25	16	1	14	1	0	Asc_data_maps__bea8d07f.zip
532	Karazhan	Karazahn	2	9	9	1	9	1	0	Asc_data_maps__bea8d07f.zip
533	Naxxramas	Stratholme Raid	2	24	22	1	24	1	0	Asc_data_maps__bea8d07f.zip
534	The Battle for Mount Hyjal	HyjalPast	2	30	30	1	30	1	0	Asc_data_maps__bea8d07f.zip
535	Naxxramas	Stratholmeraidlk	2	24	0	0	24	1	0	Asc_data_maps__bea8d07f.zip
540	Hellfire Citadel: The Shattered Halls	HellfireMilitary	1	0	0	1	5	1	0	Asc_data_maps__bea8d07f.zip
542	Hellfire Citadel: The Blood Furnace	HellfireDemon	1	0	0	1	5	1	0	Asc_data_maps__bea8d07f.zip
543	Hellfire Citadel: Ramparts	HellfireRampart	1	72	16	1	30	1	0	Asc_data_maps__bea8d07f.zip
544	Magtheridon's Lair	HellfireRaid	2	0	0	1	4	1	0	Asc_data_maps__bea8d07f.zip
545	Coilfang: The Steamvault	CoilfangPumping	1	0	0	1	5	1	0	Asc_data_maps__bea8d07f.zip
546	Coilfang: The Underbog	CoilfangMarsh	1	0	0	1	5	1	0	Asc_data_maps__bea8d07f.zip
547	Coilfang: The Slave Pens	CoilfangDraenei	1	0	0	1	6	1	0	Asc_data_maps__bea8d07f.zip
548	Coilfang: Serpentshrine Cavern	CoilfangRaid	2	0	0	1	10	1	0	Asc_data_maps__bea8d07f.zip
550	Tempest Keep	TempestKeepRaid	2	0	0	1	6	1	0	Asc_data_maps__bea8d07f.zip
552	Tempest Keep: The Arcatraz	TempestKeepArcane	1	0	0	1	5	1	0	Asc_data_maps__bea8d07f.zip
